date;site;point1;point2;measure;value;p.rand.inf;p.rand.sup;mean.rand;up.rand;low.rand
2017-07-16;arugot;day;night;strength;24,370459;1;0;14,7012904355;15,5189010173335;13,8836798536665
2017-07-16;arugot;day;night;eigen;56,59577165;0,93;0,07;30,86011762455;32,2432200370807;29,4770152120193
2017-07-16;arugot;day;night;betweenness;3,33333335;0,01;0,99;11,468877088;12,3299271726699;10,6078270033301
2017-07-16;arugot;day;night;social_differentiation;0,59102109;1;0;0,1909927237143;0,205167905296483;0,176817542132117
2017-07-16;arugot;day;night;association_stability;0,424296303827163;0;1;0,637376923460362;0,647182813502666;0,627571033418058
2017-07-16;david;day;night;size_com;2;0,48;0,52;2,32061845264657;2,4192858335512;2,22195107174193
2017-07-16;david;day;night;modularity_can;0,28;0,99;0,01;0,07190612936;0,0829976408874737;0,0608146178325263
2017-07-16;david;day;night;transitivity_can;0,5714286;0,87;0,13;0,381383035;0,417754079462535;0,345011990537465
2017-07-16;david;day;night;transitivity_com;0,738095233333333;0,9;0,1;0,408112460889271;0,426713307442667;0,389511614335875
2017-07-16;david;day;night;density_can;0,13333333;0,07;0,93;0,1957777684;0,202915094116015;0,188640442683985
2017-07-16;david;day;night;density_com;0,109788355;0,19;0,81;0,316354350394531;0,331426205719753;0,301282495069308
2017-07-16;david;day;night;deg_assor_can;0,8405797;1;0;0,20632073282;0,240830679188015;0,171810786451985
2017-07-16;david;day;night;deg_assor_com;NA;1;1;NA;NA;NA
2017-07-16;david;day;night;sex_assor_can;0,10046231;0,92;0,08;0,0559077275;0,0619149736332399;0,0499004813667601
2017-07-16;david;day;night;sex_assor_com;NA;1;1;NA;NA;NA
2017-07-16;david;day;night;wei_assor_can;0,19938115;0,03;0,97;0,276057019;0,283614025047182;0,268500012952818
2017-07-16;david;day;night;wei_assor_com;0,058946925;0,13;0,87;0,18719662677628;0,195798407920595;0,178594845631965
2017-07-16;david;day;night;degree;1,2;0,01;0,99;1,766;1,86632647728127;1,66567352271873
2017-07-16;david;day;night;local_clustering;0,51666667;0,91;0,09;0,3496666689;0,370234442694661;0,329098895105339
2017-07-16;david;day;night;strength;23,091325;0,31;0,69;24,257761479;25,7335499378251;22,7819730201749
2017-07-16;david;day;night;eigen;35,2435708;0,63;0,37;34,32580560804;36,4987271897469;32,1528840263331
2017-07-16;david;day;night;betweenness;13,8412699;0,31;0,69;18,3655926506309;20,4014517031145;16,3297335981474
