,centrality,ave_obs_diff,std_obs_diff,ave_rand_diff,std_rand_diff,p_value_1,p_value_2,p_value_n,p_value_s
1,density_loc,0.185307608644252,0.184835811250471,0.1646459722383,0.00492236655109145,0.71205,7.82e-14,391,2e-16
2,diff_bonds_loc,1.04158267891861,0.864313147037129,1.14854907206822,0.0370745889860104,0.61973,6.94e-14,347,2e-16
3,diff_bonds_ind,0.515454241854298,0.398664074463088,0.532943757603348,0.0266399225608316,0.03872,1.158e-13,579,2e-16
4,degree,0.9617102744097,0.974024913226853,2.21552559064166,0.108177175652737,1,1,711,0.003
5,strength,0.309578068986935,0.32609074476396,0.199632875629163,0.0130931546721355,0,1.422e-13,711,2e-16
6,eigen,0.34532847452487,0.393622539703388,0.330341055579359,0.014581807597934,0.99951,1.422e-13,711,2e-16
