X,Y,R.mantel,P.mantel,R.cosine,P.cosine,P.transform,P.adjust,class.w
45,35,0.990643885863337,1,0.990841336388278,1,0,0,tomato
50,35,0.981385532174907,1,0.981770285079421,1,0,0,tomato
55,35,0.979840502169027,1,0.980244636129358,1,0,0,tomato
60,35,0.978519779123429,1,0.97893239171748,1,0,0,tomato
65,35,0.977698288342544,1,0.978123090050362,1,0,0,tomato
70,35,0.977298838944788,1,0.977719481297109,1,0,0,tomato
75,35,0.976135977026574,1,0.976578609719328,1,0,0,tomato
80,35,0.967924157034527,1,0.968476442633205,1,0,0,tomato
85,35,0.967543451915998,1,0.968090839594399,1,0,0,tomato
90,35,0.952236014572619,1,0.953048159719443,1,0,0,tomato
95,35,0.952905652575824,1,0.953735948730161,1,0,0,tomato
100,35,0.95417061394296,1,0.955021130570219,1,0,0,tomato
45,40,0.992611927111945,1,0.992768055438995,1,0,0,tomato
50,40,0.989858541212426,1,0.990030494540226,1,0,0,tomato
55,40,0.987457119564311,1,0.987674505325357,1,0,0,tomato
60,40,0.985715117261624,1,0.985955430796372,1,0,0,tomato
65,40,0.984780020639052,1,0.9850365364124,1,0,0,tomato
70,40,0.984592263742696,1,0.984840566491891,1,0,0,tomato
75,40,0.983914245765987,1,0.984172378566123,1,0,0,tomato
80,40,0.975504114692334,1,0.975885936059516,1,0,0,tomato
85,40,0.975592670093604,1,0.975958668583241,1,0,0,tomato
90,40,0.960912960265094,1,0.961534673363446,1,0,0,tomato
95,40,0.961444267721363,1,0.962085063742341,1,0,0,tomato
100,40,0.962533582963692,1,0.963195143958003,1,0,0,tomato
50,45,0.996916479020194,1,0.996985563996158,1,0,0,tomato
55,45,0.995097386775027,1,0.995206206548369,1,0,0,tomato
60,45,0.994461455195514,1,0.994577118327537,1,0,0,tomato
65,45,0.992565498131147,1,0.992725133739723,1,0,0,tomato
70,45,0.99245552108201,1,0.992612080505548,1,0,0,tomato
75,45,0.991011201210492,1,0.991200063645677,1,0,0,tomato
80,45,0.985393950448187,1,0.985670480858071,1,0,0,tomato
85,45,0.985304210170214,1,0.985575255596615,1,0,0,tomato
90,45,0.96859822126592,1,0.96919489528378,1,0,0,tomato
95,45,0.969026463693024,1,0.969634318737163,1,0,0,tomato
100,45,0.969002800515495,1,0.96964247604827,1,0,0,tomato
55,50,0.998023752098381,1,0.998071852735741,1,0,0,tomato
60,50,0.99781049439056,1,0.997861020692888,1,0,0,tomato
65,50,0.995372557492219,1,0.995481218948074,1,0,0,tomato
70,50,0.995757447512027,1,0.995854122235157,1,0,0,tomato
75,50,0.994863032846113,1,0.994979627335611,1,0,0,tomato
80,50,0.989054432152952,1,0.989279976179689,1,0,0,tomato
85,50,0.988776377905532,1,0.989003347371586,1,0,0,tomato
90,50,0.972455204524286,1,0.973007219448561,1,0,0,tomato
