"","X","Y","R.cosine.w","P.cosine.w","R.cosine.b","P.cosine.b","P.transform","P.adjust","class.w","class.b"
"43",2017-07-14 11:00:00,2017-08-04 23:00:00,0.354404840032136,0.7,0.416666666666667,1,0,0,"white","tomato"
"44",2017-07-14 11:00:00,2017-08-05 11:00:00,0.57021350718941,0.92,0.720193141399958,1,0,0,"white","tomato"
"45",2017-07-14 11:00:00,2017-08-05 23:00:00,0.280063065086932,0.54,0.52704627669473,1,0,0,"white","tomato"
"46",2017-07-14 11:00:00,2017-08-06 11:00:00,0.269686632402949,0.31,0.515122196369932,1,0,0,"white","tomato"
"47",2017-07-14 11:00:00,2017-08-06 23:00:00,0.41436304955116,0.84,0.615457454896664,1,0,0,"white","tomato"
"48",2017-07-14 11:00:00,2017-08-07 11:00:00,0.59967154845699,0.95,0.810092587300983,1,0,0,"white","tomato"
"49",2017-07-14 11:00:00,2017-08-07 23:00:00,0.157888668938628,0.02,0.308606699924184,0.01,0.01,0.0133448873483536,"cornflowerblue","cornflowerblue"
"50",2017-07-14 11:00:00,2017-08-08 11:00:00,0.426881682965451,0.4,0.808693704220811,1,0,0,"white","tomato"
"51",2017-07-14 11:00:00,2017-08-08 23:00:00,0.301137882411238,0.08,0.632455532033676,1,0,0,"white","tomato"
"52",2017-07-14 11:00:00,2017-08-09 11:00:00,0.494209532504666,0.9,0.696310623822791,1,0,0,"white","tomato"
"53",2017-07-14 11:00:00,2017-08-09 23:00:00,0.342839895489446,0.83,0.433012701892219,1,0,0,"white","tomato"
"54",2017-07-14 11:00:00,2017-08-10 11:00:00,0.539314831467263,0.36,0.840672807476707,1,0,0,"white","tomato"
"55",2017-07-14 11:00:00,2017-08-10 23:00:00,0.502380088804463,0.91,0.709208143266975,1,0,0,"white","tomato"
"56",2017-07-14 23:00:00,2017-07-15 11:00:00,0.433049956041335,0.97,0.648181216087669,1,0,0,"tomato","tomato"
"57",2017-07-14 23:00:00,2017-07-15 23:00:00,0.181413709420161,0.97,0.433012701892219,1,0,0,"tomato","tomato"
"58",2017-07-14 23:00:00,2017-07-16 11:00:00,0.415811444136217,0.98,0.71443450831176,1,0,0,"tomato","tomato"
"59",2017-07-14 23:00:00,2017-07-16 23:00:00,0.386471715724763,0.98,0.6875,0.94,0.0600000000000001,0.0702661596958176,"tomato","white"
"60",2017-07-14 23:00:00,2017-07-17 11:00:00,0.230627065419686,0.02,0.625543242171224,0.89,0.11,0.122931785195936,"cornflowerblue","white"
"61",2017-07-14 23:00:00,2017-07-17 23:00:00,0.38300967377084,0.95,0.666666666666667,1,0,0,"white","tomato"
"62",2017-07-14 23:00:00,2017-07-18 11:00:00,0.480917672219508,0.96,0.539319371630006,1,0,0,"tomato","tomato"
"63",2017-07-14 23:00:00,2017-07-18 23:00:00,0.396006407814395,0.99,0.452267016866645,1,0,0,"tomato","tomato"
"64",2017-07-14 23:00:00,2017-07-19 11:00:00,0.380505664523178,0.88,0.637377439199098,1,0,0,"white","tomato"
"65",2017-07-14 23:00:00,2017-07-19 23:00:00,0.480554862600997,1,0.678400525299968,1,0,0,"tomato","tomato"
"66",2017-07-14 23:00:00,2017-07-20 11:00:00,0.399047497343698,0.98,0.729800449199762,1,0,0,"tomato","tomato"
"67",2017-07-14 23:00:00,2017-07-20 23:00:00,0.106626023405641,0.79,0.530330085889911,0.99,0.01,0.0133448873483536,"white","tomato"
"68",2017-07-14 23:00:00,2017-07-21 11:00:00,0.292334253309369,0.83,0.71443450831176,1,0,0,"white","tomato"
"69",2017-07-14 23:00:00,2017-07-21 23:00:00,0.189458529306652,0.9,0.678400525299968,0.97,0.03,0.0371980676328503,"white","tomato"
"70",2017-07-14 23:00:00,2017-07-22 11:00:00,0.371574672055555,0.85,0.782623792124926,1,0,0,"white","tomato"
"71",2017-07-14 23:00:00,2017-07-22 23:00:00,0.155114759645498,0.82,0.721687836487032,1,0,0,"white","tomato"
"72",2017-07-14 23:00:00,2017-07-23 11:00:00,0.423191927319661,0.98,0.677671845685493,1,0,0,"tomato","tomato"
"73",2017-07-14 23:00:00,2017-07-23 23:00:00,0.457748578570833,0.17,0.566946709513841,0.97,0.03,0.0371980676328503,"white","tomato"
"74",2017-07-14 23:00:00,2017-07-24 11:00:00,0.155850066821944,0.15,0.670820393249937,1,0,0,"white","tomato"
"75",2017-07-14 23:00:00,2017-07-24 23:00:00,0.483413296970778,0.12,0.632455532033676,1,0,0,"white","tomato"
"76",2017-07-14 23:00:00,2017-07-25 11:00:00,0.313718715060033,0.96,0.688247201611685,0.93,0.07,0.0812358703843256,"tomato","white"
"77",2017-07-14 23:00:00,2017-07-25 23:00:00,0.130871939519306,0.12,0.353553390593274,0.78,0.22,0.233494141971054,"white","white"
"78",2017-07-14 23:00:00,2017-07-26 11:00:00,0.339949917026783,0.84,0.788240781368082,0.98,0.02,0.0252873563218391,"white","tomato"
"79",2017-07-14 23:00:00,2017-07-26 23:00:00,0.107650937791894,0.52,0.472455591261534,1,0,0,"white","tomato"
"80",2017-07-14 23:00:00,2017-07-27 11:00:00,0.238993998427826,0.83,0.625,1,0,0,"white","tomato"
