Number;Serial_number;Production;Deployment;Chip;Tag;Old_collar;Canyon;Group;Sex;Birth;Weight;Body_length;SMI;David_score;Normalized_David_score;Social_status;Date_on;Date_off;Total_offset;Daily_offset;Data_points;Last_record;Dead_battery;Refurbished;Lost;Comments
26;8430;2017;2017;204510;AE;Q8;Arugot;Bachelor;M;<2015;3.05;42.3;1.992271;2.40476190476191;15.0775729646697;BM;15/05/2017 10:07;16/05/2018 10:00;NA;NA;NA;05/02/2018 15:55;Yes;No;No;
74;8468;2018;2018;204510;QU;AE;Arugot;Bachelor;M;<2015;3.09;;;;;BM;16/05/2018 10:00;;;;;;No;No;No;
25938;25938;2020;2020;216851;DB;None;Arugot;Isiim;F;2018;2.15;;;;;F;07/05/2020 10:00;;;;;;No;No;No;LYY
86;8490;2019;2019;216875;M4;None;David;Bachelor;M;2016;2.9;;;;;BM;28/03/2019 12:10;;;;;;No;No;No;
20;8424;2017;2017;216893;EP;None;David;Bachelor;M;<2016;2.9;41;2.043566;-3.59404761904762;13.8760673234811;BM;16/06/2017 19:03;NA;NA;NA;NA;NA;No;No;Yes;
111;8515;2019;2019;216893;V7;EP;David;Bachelor;M;<2016;3.4;;;;;BM;28/03/2019 12:58;;;;;;No;No;No;EP collar was lost
79;8473;2018;2019;216920;GK;None;David;Window;F;2016;2.35;;;;;F;26/03/2019 13:40;;;;;;No;No;No;
32;8436;2017;2017;216956;RW;None;David;Hill;F;2014;2.1;42;1.395659;-1.53809523809524;13.9469622331691;F;06/06/2017 09:00;01/08/2018 10:00;NA;NA;5026;NA;No;No;No;
3;8407;2017;2017;216968;FJ;None;David;Window;M;<2016;3.35;46.5;1.738562;5.47916666666667;14.1889367816092;RM;05/06/2017 09:00;22/05/2018 12:00;-1743474;-4965,39409;4840;15/03/2018 14:05;Yes;No;No;Retreived in Mai 2018, Dudim cave, David
18;8435;2017;2017;216973;RF;None;Arugot;Bachelor;M;<2016;2.2;41;1.550292;NA;NA;BM;24/06/2017 10:17;;;;;;No;No;No;
25914;25914;2020;2020;216996;KT;None;Arugot;Cube;F;<2018;2.05;;;;;F;07/05/2020 10:00;;;;;;No;No;No;RBR
16;8420;2017;2018;217021;LC;None;Outside;Wolfgang;F;NA;2.95;;;;;F;NA;17/03/2020 09:45;NA;NA;NA;NA;Yes;Yes;No;Broken - Data download impossible
102;8506;2019;2020;217021;H9;LC;Outside;Wolfgang;F;NA;2.95;;;;;F;17/03/2020 09:00;;;;;;No;No;No;
23;8427;2017;2017;217145;LC;None;Arugot;Sukkot;F;<2016;2.57;44;1.525454;4.60833333333333;15.1486559139785;F;18/04/2017 13:24;23/08/2017 09:00;-28;-0,220791168;3049;NA;No;No;No;
93;8497;2019;2019;217167;T7;None;Arugot;Bachelor;M;<2017;3;;;;;BM;06/03/2019 17:00;26/05/2019 10:00;;;;;No;No;No;Death recovery
114;8518;2019;2019;217222;J4;None;David;Hill;F;<2017;1.85;;;;;F;19/09/2019 09:00;15/04/2020 10:00;-586428;-2805,316324;11458;15/04/2020 17:58;No;No;No;
25940;25940;2020;2020;217222;DI;J4;David;Hill;F;<2017;2.25;;;;;F;15/04/2020 10:00;;;;;;No;No;No;BBB
56;8450;2018;2019;217564;AC;None;Arugot;Cube;F;2017;3;;;;;F;07/03/2019 12:00;07/05/2020 10:00;-584920;-1370,103455;1094;22/11/2020 15:18;No;No;No;
25924;25924;2020;2020;217564;JQ;AC-56;Arugot;Cube;F;2017;2.5;;;;;F;07/05/2020 10:00;;;;;;No;No;No;YRY
6;8410;2017;2017;217579;EL;None;David;Window;F;2014;1.8;36;1.739852;-2.59226190476191;13.9106116584565;F;05/06/2017 10:47;06/06/2018 10:00;-711761;-1944,875625;7378;15/03/2018 14:08;Yes;No;No;
69;8463;2018;2018;217579;EZ;EL;David;Window;F;2014;NA;;;;;F;06/06/2018 10:00;;;;;;No;No;No;
64;8458;2018;2018;217732;LT;Yael20;David;Window;F;2013;2,1;;;;;F;30/04/2018 10:30;19/04/2020 18:30;;;;;No;No;No;"Cannot connect collar to the co;puter"
25922;25922;2020;2020;217732;FM;LT;David;Window;F;2013;2.4;;;;;F;24/06/2020 11:30;;;;;;No;No;No;GLG
10;8405;2017;2018;217772;CJ;None;Outside;Wolfgang;M;<2017;NA;;;;;RM;28/06/2018 10:00;;;;;;No;Yes;No;
14;8418;2017;2017;217888;LR;M7;Arugot;Bachelor;M;2010;3.05;44.5;1.761331;NA;NA;RM;10/05/2017 10:00;08/04/2018 10:30;-1326780;-3984,07507;296;08/02/2018 12:55;Yes;No;No;
52;8446;2018;2018;217888;ZD;LR;Arugot;Bachelor;M;2010;3.35;;;;;BM;08/04/2018 10:30;07/03/2019 15:00;1755034;5267,40649;2674;01/01/2019 22:24;Yes;No;No;
98;8502;2019;2019;217888;Z9;ZD;Arugot;Bachelor;M;2010;3.2;;;;;BM;07/03/2019 16:00;;;;;;No;No;No;
80;8474;2018;2019;217941;YL;None;Arugot;Cube;M;2016;2.45;;;;;BM;20/05/2019 09:00;;;;;;No;No;Yes;
25928;25928;2020;2020;217941;NR;YL;Arugot;Isiim;M;2016;3.45;;;;;RM;21/05/2020 09:00;;;;;;No;No;No;GYG
25926;25926;2020;2020;218068;AK;None;Arugot;Cube;F;<2017;2.1;;;;;F;07/05/2020 10:00;NA;NA;NA;NA;NA;No;No;Yes;GRR
21;8425;2017;2017;218271;YE;None;Arugot;Bachelor;M;<2016;2.5;;;1.02380952380952;15.0330261136713;BM;20/04/2017 18:04;29/08/2017 09:00;76;0,581830555;394;NA;No;No;No;
2;8406;2017;2017;218340;JN;None;Arugot;Bachelor;M;2013;2.4;36;2.319803;NA;NA;BM;20/04/2017 12:43;16/08/2017 09:45;2;0,016966926;331;NA;No;No;No;
63;8457;2018;2018;218340;RN;SM;Arugot;Bachelor;M;2013;2.5;;;;;BM;09/04/2018 10:30;06/08/2018 10:00;68;0,571528629;401;NA;No;No;No;
68;8462;2018;2018;218340;VS;RN;Arugot;Bachelor;M;2013;2.5;;;;;BM;06/08/2018 10:00;11/04/2019 12:00;NA;NA;NA;NA;Yes;No;No;Collar retreived on Bene Hamoshavim, 11th of Arpil 2019
25;8429;2017;2017;218507;FY;None;Arugot;Sukkot;F;<2017;1.75;36;1.788182;1.49166666666667;15.0481182795699;F;30/04/2017 10:43;29/08/2017 09:00;109;0,901359275;3780;NA;No;No;No;
62;8456;2018;2018;218594;UK;None;David;Bachelor;M;<2017;NA;;;;;BM;10/05/2018 10:00;;;;;;No;No;No;Past its front paw through  its collar in august 2018
11;8415;2017;2017;218646;DK;E5;Arugot;Isiim;F;2013;2.3;37;2.079949;-1.20833333333333;14.9610215053763;F;14/05/2017 11:05;19/08/2017 09:00;62;0,63974777;4165;NA;No;No;No;
11;8415;2017;2018;218646;DK;CD;Arugot;Isiim;F;2013;2.66;;;;;F;07/08/2018 10:00;25/08/2019 09:00;309217;807,4429333;15864;18/08/2018 16:22;Yes;Yes;No;
58;8452;2018;2018;218646;CD;DK;Arugot;Isiim;F;2013;2.66;;;;;F;08/05/2018 10:00;07/08/2018 10:00;57;0,626373626;3703;NA;No;No;No;
91;8495;2019;2019;218646;D7;DK;Arugot;Isiim;F;2013;2.5;;;;;F;25/08/2019 09:00;14/05/2020 09:00;-584637;;3318;18/12/2020 03:11;No;No;No;
25934;25934;2020;2020;218646;GX;D7;Arugot;Isiim;F;2013;2.7;;;;;F;14/05/2020 10:00;;;;;;No;No;No;GLR
