window,mean_s,vari_s,std_s
0,0.434747645716066,0.0567891722436632,0.311047106599006
5,0.42902198657768,0.0581968770422424,0.318757423323907
10,0.427241930795336,0.0597386427323147,0.327202021792308
15,0.424899649778466,0.0652892764457854,0.357604094725474
20,0.42367706948118,0.0658847389479109,0.3608655771711
25,0.356833756149627,0.0624395479346237,0.341995488842185
30,0.356808210255574,0.0637612567170984,0.349234785988326
35,0.356964863651833,0.0649532271615933,0.355763476991619
40,0.350191726975966,0.0651030402694411,0.356584037177401
45,0.350539528877465,0.0673805347269045,0.369058388066858
50,0.343912005337395,0.0683322736979696,0.374271277099949
55,0.34377127158629,0.0686136110825624,0.375812225418059
60,0.343009401109943,0.0689028714382843,0.377396569636267
65,0.343061291880404,0.0690112454290359,0.377990158430083
70,0.342839063446042,0.069180330562205,0.378916275845837
75,0.342712772590382,0.069287877864148,0.379505336678567
80,0.342301869281564,0.0704090362856186,0.38564617425833
85,0.341240919011932,0.0704585606026637,0.385917430114237
90,0.338663897542402,0.0714676100179842,0.391444221378322
95,0.338663897542402,0.0711578042785553,0.389747345459024
100,0.338944811394936,0.0707037197620711,0.387260222132101
