"individual1","individual2","dyad","deployment","group","retreived","sex"
"218646","218922","218646:218922",2017,"Within","1_logger","F:F"
"217222","218959","217222:218959",2017,"Within","1_logger","F:F"
"217564","218646","217564:218646",2017,"Between","1_logger","F:F"
"204390","217222","204390:217222",2017,"Between","1_logger","F:F"
"187214","204390","187214:204390",2017,"Between","1_logger","F:F"
"204390","971343","204390:971343",2017,"Within","1_logger","F:M"
"217222","971391","217222:971391",2017,"Within","1_logger","F:M"
"971343","971343","971343:971343",2017,"Within","1_logger","M:M"
"217732","971343","217732:971343",2017,"Within","1_logger","F:M"
"218959","971391","218959:971391",2017,"Within","1_logger","F:M"
"216996","217941","216996:217941",2017,"Within","1_logger","F:M"
"218068","219520","218068:219520",2017,"Between","1_logger","F:F"
"217941","218068","217941:218068",2017,"Within","1_logger","F:M"
"217222","971343","217222:971343",2017,"Between","1_logger","F:M"
"217564","219520","217564:219520",2017,"Between","1_logger","F:F"
"216996","218068","216996:218068",2017,"Within","1_logger","F:F"
"217564","218068","217564:218068",2017,"Within","1_logger","F:F"
"216996","217564","216996:217564",2017,"Within","1_logger","F:F"
"216851","219063","216851:219063",2017,"Within","1_logger","F:F"
"216851","218646","216851:218646",2017,"Within","1_logger","F:F"
"218646","219063","218646:219063",2017,"Within","1_logger","F:F"
"217941","219520","217941:219520",2017,"Between","1_logger","F:M"
"217941","219063","217941:219063",2017,"Between","1_logger","F:M"
"219063","219520","219063:219520",2017,"Within","1_logger","F:F"
"216851","219520","216851:219520",2017,"Within","1_logger","F:F"
"216851","217941","216851:217941",2017,"Between","1_logger","F:M"
"218922","219063","218922:219063",2017,"Within","1_logger","F:F"
"216851","218922","216851:218922",2017,"Within","1_logger","F:F"
"216996","218646","216996:218646",2017,"Between","1_logger","F:F"
"218959","971343","218959:971343",2017,"Between","1_logger","F:M"
"204390","217732","204390:217732",2017,"Within","1_logger","F:F"
"217222","217732","217222:217732",2017,"Between","1_logger","F:F"
"217732","218959","217732:218959",2017,"Between","1_logger","F:F"
"216851","217564","216851:217564",2017,"Between","1_logger","F:F"
"203694","204399","203694:204399",2018,"Within","1_logger","F:M"
"217145","218340","217145:218340",2018,"Between","1_logger","F:M"
"203847","204399","203847:204399",2018,"Between","1_logger","F:M"
"203046","203694","203046:203694",2018,"Within","1_logger","F:M"
"203046","204399","203046:204399",2018,"Within","1_logger","F:F"
"203847","219789","203847:219789",2018,"Within","1_logger","M:M"
"203046","203847","203046:203847",2018,"Between","1_logger","F:M"
"203828","217145","203828:217145",2018,"Within","1_logger","F:F"
"203847","218271","203847:218271",2018,"Within","1_logger","M:M"
"203694","203847","203694:203847",2018,"Between","2_logger","M:M"
"203828","218507","203828:218507",2018,"Within","1_logger","F:F"
"217145","218507","217145:218507",2018,"Within","1_logger","F:F"
"203694","219789","203694:219789",2018,"Between","1_logger","M:M"
"218271","219789","218271:219789",2018,"Within","1_logger","M:M"
"218340","219789","218340:219789",2018,"Within","1_logger","M:M"
"203694","218271","203694:218271",2018,"Between","1_logger","M:M"
"203123","203847","203123:203847",2018,"Within","1_logger","M:M"
"203123","219789","203123:219789",2018,"Within","1_logger","M:M"
"217888","218340","217888:218340",2018,"Within","2_logger","M:M"
"203847","218646","203847:218646",2018,"Between","2_logger","F:M"
"203123","218340","203123:218340",2018,"Within","1_logger","M:M"
"203581","218646","203581:218646",2018,"Within","2_logger","F:M"
"203123","204510","203123:204510",2018,"Within","1_logger","M:M"
"204399","218340","204399:218340",2018,"Between","1_logger","F:M"
"202119","218646","202119:218646",2018,"Within","2_logger","F:F"
"203581","203847","203581:203847",2018,"Between","2_logger","M:M"
"202119","202177","202119:202177",2018,"Within","2_logger","F:F"
"202177","203581","202177:203581",2018,"Within","2_logger","F:M"
"202119","203581","202119:203581",2018,"Within","2_logger","F:M"
"202177","218646","202177:218646",2018,"Within","2_logger","F:F"
"217888","219789","217888:219789",2018,"Within","1_logger","M:M"
"218646","219789","218646:219789",2018,"Between","1_logger","F:M"
"202119","204510","202119:204510",2018,"Between","1_logger","F:M"
"204510","218340","204510:218340",2018,"Within","1_logger","M:M"
"202119","218340","202119:218340",2018,"Between","2_logger","F:M"
"202119","203123","202119:203123",2018,"Between","1_logger","F:M"
"203847","218340","203847:218340",2018,"Within","2_logger","M:M"
"202119","203847","202119:203847",2018,"Between","2_logger","F:M"
"203694","218340","203694:218340",2018,"Between","2_logger","M:M"
"203694","204510","203694:204510",2018,"Between","1_logger","M:M"
"204510","217888","204510:217888",2018,"Within","1_logger","M:M"
"203123","217888","203123:217888",2018,"Within","1_logger","M:M"
"203828","218271","203828:218271",2018,"Between","1_logger","F:M"
