"individual1","individual2","dyad","deployment","group","retreived","sex"
"216893","216956","216893:216956",2017,"Between","1_logger","F:M"
"203046","203581","203046:203581",2017,"Between","1_logger","F:M"
"204399","218271","204399:218271",2017,"Between","2_logger","F:M"
"204399","204510","204399:204510",2017,"Between","2_logger","F:M"
"204510","218271","204510:218271",2017,"Within","2_logger","M:M"
"204510","216956","204510:216956",2017,"Between","2_logger","F:M"
"203847","217888","203847:217888",2017,"Within","2_logger","M:M"
"202523","216968","202523:216968",2017,"Within","1_logger","M:M"
"202000","219204","202000:219204",2017,"Between","2_logger","F:M"
"216956","219204","216956:219204",2017,"Between","2_logger","F:M"
"202523","216956","202523:216956",2017,"Between","1_logger","F:M"
"202000","202523","202000:202523",2017,"Between","1_logger","F:M"
"217888","218646","217888:218646",2017,"Between","2_logger","F:M"
"203581","217888","203581:217888",2017,"Between","2_logger","M:M"
"202523","203478","202523:203478",2017,"Between","1_logger","F:M"
"203694","217888","203694:217888",2017,"Between","2_logger","M:M"
"203581","204399","203581:204399",2017,"Between","2_logger","F:M"
"202119","204399","202119:204399",2017,"Between","2_logger","F:F"
"204399","218646","204399:218646",2017,"Between","2_logger","F:F"
"202523","203770","202523:203770",2017,"Within","1_logger","F:M"
"203046","217888","203046:217888",2017,"Between","1_logger","F:M"
"202523","219204","202523:219204",2017,"Between","1_logger","M:M"
"202177","217888","202177:217888",2017,"Between","2_logger","F:M"
"202177","204399","202177:204399",2017,"Between","2_logger","F:F"
"202177","203046","202177:203046",2017,"Between","1_logger","F:F"
"202119","217888","202119:217888",2017,"Between","2_logger","F:M"
"202119","203046","202119:203046",2017,"Between","1_logger","F:F"
"204399","217888","204399:217888",2017,"Between","2_logger","F:M"
"203770","204510","203770:204510",2017,"Between","2_logger","F:M"
"203478","216968","203478:216968",2017,"Between","2_logger","F:M"
"203478","217579","203478:217579",2017,"Between","2_logger","F:F"
"203140","218340","203140:218340",2017,"Within","1_logger","M:M"
"203140","217888","203140:217888",2017,"Within","1_logger","M:M"
"203140","203694","203140:203694",2017,"Between","1_logger","M:M"
"203581","216956","203581:216956",2017,"Between","2_logger","F:M"
"202285","204390","202285:204390",2017,"Within","1_logger","F:F"
"202285","203770","202285:203770",2017,"Within","1_logger","F:F"
"202119","219520","202119:219520",2017,"Within","1_logger","F:F"
"218646","219520","218646:219520",2017,"Within","1_logger","F:F"
"202177","219520","202177:219520",2017,"Within","1_logger","F:F"
"204390","218594","204390:218594",2017,"Between","1_logger","F:M"
"203478","204390","203478:204390",2017,"Between","2_logger","F:F"
"203770","218594","203770:218594",2017,"Between","1_logger","F:M"
"203140","203847","203140:203847",2017,"Within","1_logger","M:M"
"187214","203478","187214:203478",2017,"Within","1_logger","F:F"
"202119","203694","202119:203694",2017,"Between","2_logger","F:M"
"203140","204510","203140:204510",2017,"Within","1_logger","M:M"
"203478","203770","203478:203770",2017,"Between","2_logger","F:F"
"187214","202285","187214:202285",2017,"Between","1_logger","F:F"
"203581","219520","203581:219520",2017,"Within","1_logger","F:M"
"204390","217772","204390:217772",2017,"Between","1_logger","F:M"
"204510","218646","204510:218646",2017,"Between","2_logger","F:M"
"204510","219520","204510:219520",2017,"Between","1_logger","F:M"
"203581","204510","203581:204510",2017,"Between","2_logger","M:M"
"203694","218646","203694:218646",2017,"Between","2_logger","F:M"
"203140","218646","203140:218646",2017,"Between","1_logger","F:M"
"202119","203140","202119:203140",2017,"Between","1_logger","F:M"
"203140","203581","203140:203581",2017,"Between","1_logger","M:M"
"203694","203694","203694:203694",2017,"Within","2_logger","M:M"
"217888","219520","217888:219520",2017,"Between","1_logger","F:M"
"218340","219520","218340:219520",2017,"Between","1_logger","F:M"
"202177","203694","202177:203694",2017,"Between","2_logger","F:M"
"203694","219520","203694:219520",2017,"Between","1_logger","F:M"
"187214","217579","187214:217579",2017,"Between","1_logger","F:F"
"202177","202177","202177:202177",2017,"Within","2_logger","F:F"
"202177","217564","202177:217564",2017,"Between","1_logger","F:F"
"203694","217167","203694:217167",2017,"Between","1_logger","M:M"
"217167","217888","217167:217888",2017,"Within","1_logger","M:M"
"203694","217564","203694:217564",2017,"Within","1_logger","F:M"
"202119","218922","202119:218922",2017,"Within","1_logger","F:F"
"218922","219520","218922:219520",2017,"Within","1_logger","F:F"
"202177","218922","202177:218922",2017,"Within","1_logger","F:F"
"203140","217564","203140:217564",2017,"Between","1_logger","F:M"
"203847","217564","203847:217564",2017,"Between","1_logger","F:M"
"204390","219787","204390:219787",2017,"Within","1_logger","F:F"
"203140","217167","203140:217167",2017,"Within","1_logger","M:M"
"204390","216920","204390:216920",2017,"Within","1_logger","F:F"
"203770","219787","203770:219787",2017,"Within","1_logger","F:F"
"203770","216920","203770:216920",2017,"Within","1_logger","F:F"
"204390","216875","204390:216875",2017,"Between","1_logger","F:M"
"204390","216893","204390:216893",2017,"Between","1_logger","F:M"
"203770","216893","203770:216893",2017,"Between","1_logger","F:M"
"203770","218938","203770:218938",2017,"Between","1_logger","F:M"
"216920","218938","216920:218938",2017,"Between","1_logger","F:M"
"204390","218959","204390:218959",2017,"Between","1_logger","F:F"
"216875","218938","216875:218938",2017,"Within","1_logger","M:M"
"216893","218938","216893:218938",2017,"Within","1_logger","M:M"
"204390","218938","204390:218938",2017,"Between","1_logger","F:M"
"202177","217167","202177:217167",2017,"Between","1_logger","F:M"
"203770","216875","203770:216875",2017,"Between","1_logger","F:M"
"203770","218959","203770:218959",2017,"Between","1_logger","F:F"
"216875","218959","216875:218959",2017,"Between","1_logger","F:M"
"217167","217564","217167:217564",2017,"Between","1_logger","F:M"
"217941","218922","217941:218922",2017,"Between","1_logger","F:M"
"203770","218994","203770:218994",2017,"Within","1_logger","F:F"
"187214","218959","187214:218959",2017,"Within","1_logger","F:F"
"204390","218994","204390:218994",2017,"Within","1_logger","F:F"
"218938","218994","218938:218994",2017,"Between","1_logger","F:M"
"217564","217941","217564:217941",2017,"Within","1_logger","F:M"
"217564","218922","217564:218922",2017,"Between","1_logger","F:F"
"216920","218959","216920:218959",2017,"Between","1_logger","F:F"
"218938","218959","218938:218959",2017,"Between","1_logger","F:M"
"187214","218938","187214:218938",2017,"Between","1_logger","F:M"
"218959","218994","218959:218994",2017,"Between","1_logger","F:F"
"187214","203770","187214:203770",2017,"Between","1_logger","F:F"
"218959","218959","218959:218959",2017,"Within","1_logger","F:F"
"187214","217222","187214:217222",2017,"Within","1_logger","F:F"
"204390","204390","204390:204390",2017,"Within","2_logger","F:F"
"217941","218646","217941:218646",2017,"Between","1_logger","F:M"
